time,dev_id,sensor_name,temperature,humidity,battery,lat_long,location_picture_hyperlink
2024-09-21T17:28:14+00:00,r712-a7f8,Elm,12.11,71.99,2,"-37.8027955, 144.9657785",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc2.PNG
2024-09-21T18:32:30+00:00,r712-a7f9,Plaza,12.14,71.28,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-21T19:31:40+00:00,r712-a7f7,Bench Hub,11.77,73.34,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-21T20:32:30+00:00,r712-a7f9,Plaza,11.39,76.79,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-21T20:34:16+00:00,r712-4e85,Gum,11.78,75.9,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-21T23:34:17+00:00,r712-4e85,Gum,15.58,63.98,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-22T00:31:41+00:00,r712-a7f7,Bench Hub,16.34,59.07,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-29T01:32:21+00:00,r712-a7f7,Bench Hub,13.66,81.25,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-29T01:35:03+00:00,r712-4e85,Gum,13.66,79.92,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-29T02:32:22+00:00,r712-a7f7,Bench Hub,13.79,84.3,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
2024-09-29T02:33:13+00:00,r712-a7f9,Plaza,13.52,88.03,3,"-37.8026473, 144.9661236",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc3.PNG
2024-09-29T02:34:56+00:00,r712-4e85,Gum,13.81,84.1,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-29T03:34:57+00:00,r712-4e85,Gum,14.65,81.5,3,"-37.8024211, 144.9663054",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc4.PNG
2024-09-22T01:31:42+00:00,r712-a7f7,Bench Hub,17.42,55.39,2,"-37.8030396, 144.965898",https://melbournetestbed.opendatasoft.com/assets/theme_image/ArgyleLoc1.PNG
